date,reviews,voted_up
2021-12-31 20:12,p,TRUE
2021-12-24 19:03,Fuck this game. Fuck The New War. Fuck DE and and their stable of failed novelists.,FALSE
2021-12-23 6:48,g,TRUE
2021-12-22 20:38,"The best game ever made, indesputably.",TRUE
2021-12-22 13:18,one of the best looters of all time,TRUE
2021-12-22 9:47,Reccommend if you willing to be a cyber-space ninja.,TRUE
2021-12-18 14:14,"If you ever wanted to face pound into a mound of cocaine and jump into a mech suit, skirt around on your knees at 90mph then this game is for you.

I had no idea wtf I was doing 85% of the time. I run, slide on my knees, fly around at unholy high speeds, I can watch myself rapidly aging as I leap through quantum rings of time at an unreal pace. All while shooting arrows, guns and then rolling on loot with other people I had no idea were there with me the entire time. 

I recommend players record their playing of this game, then watching back in slow motion to make sense of it.",TRUE
2021-12-16 16:59,"Let's get started with the beginning,Really fun and addicting,Community is about 80% friendly so that's always good in any game ! as for ""PAY TO WIN"" claims,it's not,you grind to win unless you're rich you can just skip the grind but that would ruin the point of a grinding game,It gets a bit hard at times but that doesn't stop you from going to the ""Recruiting"" Tab and finding a quick crew to help you,The currency ""Platinum"" can be earned by trading/selling stuff in game,Graphics are really amazing for a Free to play game and couldn't be any better,Streams everyweek to keep you up to date on fixes/bugs/buffs/nerfs etc 

One of the massive flaws sadly is how massively RNG based it gets (The further you are in it)
Finishing all quests/collecting everything eventually leaves you bored and with nothing to do but wait for new stuff

Other than that,It's really good (i recommend heavily to grind lovers out there)


Edit: Game is still Amazing and going to get a hell of a lot better,get it asap! (2017)

Edit: Going to be a good year for Warframe,They Finally finished a 4 year quest in the making (Sacrifice) And Gave us a Massive Plot Twist in Lore. Hyped to see what they do next. (2018)

Edit: We 3264 hours in and feeling a bit dry honestly, Can't tell if my hunger for warframe has died or the content died.. Still a good game just take your time with it


Edit: Alright..it's the end of 2021 and you might have noticed there's a time jump from my last review and now, The Explanation to this is just lacking motivation to play due to lack of content.
Honestly I tried now and then with the side quests that would pop up but it just wasn't bringing that spirit back to me. Recently Warframe got a HUGE Quest update that brought me back  and it...is AMAZING!!! DUDE IM TELLING YOU THIS GAME IS INSANELY GOOD FOR A FREE TO PLAY GAME!!! Like this quest had me emotional bro!!!! Seriously if you haven't put a good amount of time into warframe, What are you doing bro? GET GRINDING MY DUDES SIGMA GRINDSET ACTIVATE. (Cringe aside the game is back at the top, hopefully stays this way (: enjoy it )",TRUE
2021-12-16 1:20,Listed playtime only accounts for about a third of what I've actually logged (from launching via the standalone executable for a few years). It's definitely a videogame.,TRUE
2021-12-15 18:20,"Well uhm come a long time from my first review was 4hr on play well now is 3K/hr i still enjoy it and hate/love relation some time,bugs yeah like in every game is normal to have but they fix it,optimization uhm they try is CPU heavy game i dont blame it can be fix if they work around it,pay to win maybe but you can have it for free if you have the time for it also its heavy grind so will take a bit of time to manage your stuff around.
BestQuestGameEverDoneAndWorkedOnHarderThanAnyGameOutTherHasEverDone!!!!!!!!!!!!!!!",TRUE
2021-12-06 18:35,"The movement and combat of this game is extremely fun. For being a free game its amazing.
Just be aware that is a huge time sink.
Community is amazing and friendly as well. 
My advice for new players take your time, enjoy the story, and game play.",TRUE
2021-12-05 3:25,SJRFSXJX,TRUE
2021-11-17 13:37,it's ok,TRUE
2021-10-10 8:39,This game suck,TRUE
2021-09-24 23:35,amazing....,TRUE
2021-09-22 23:58,"its ok

edit: its alright",TRUE
