date,reviews,voted_up
2022-01-02 8:09,"Im officially done with this game.

Its become a sig spam fest and corner camping pussy ring its unbearable, The amount of passive bitch ass players who only main scythe or axe as those weapons play the game for you they're so fucking easy its a joke.

you no longer need skill for this game if you can spam like a bitch and passive loser then youll get diamond no problem real skill is no longer a thing sit in gold/plat forever dont even bother with ranked full of brain dead kids.

Dont even get me started on the broken weapon throwing that on its own is a fucking stupid mechanic and the dodge just plays into the broken weapons favour anyway, I hope the game dies its so fucking terrible its becoming a cookie clicker.

Fuck you devs.",FALSE
2021-12-31 2:18,Great platform fighter.,TRUE
2021-12-30 14:28,good bad game,TRUE
2021-12-28 7:38,"Better than Smash IMO. I stayed away from this game for awhile because it looked like Smash bros. But after trying it, I must say it feels so different. this game is SO MUCH FUN.",TRUE
2021-12-27 13:12,I didnt get fenrir mordex >:(,FALSE
2021-12-25 11:16,gg,TRUE
2021-12-23 5:36,is nice but is really annoying when you play ranked,FALSE
2021-12-17 10:04,✡✡✡,TRUE
2021-12-13 9:01,Pfff,TRUE
2021-12-13 1:30,"It's A Very Good Game !
It's a 2-D Game Yeah !
But Don't Underestimate Without Playing !
U Will Surely Love It !
Bye :)",TRUE
2021-12-08 1:01,amazing game 10/10 recommend,TRUE
2021-12-02 12:30,"Devs didn't listen to the players who offered insight on the game early on.
The mechanics feel shoehorned in just to try to be different and the game feels like a toilet.
Ugly as hell too.",FALSE
2021-11-30 21:31,Smash Bros Copy But Better,TRUE
2021-11-28 21:26,"simple and fun, cant ask for more!",TRUE
2021-11-26 16:22,I think I nutted my pants so hard in this game,TRUE
2021-11-26 7:31,"Noice, Very Noice",TRUE
2021-11-24 16:21,"i hate this game but 
10/10",TRUE
2021-11-24 13:41,"i mean...

11/24/2021 update: AKUMA CROSSOVER",TRUE
2021-11-24 6:35,Best fighting game around.,TRUE
2021-11-23 5:12,best game,TRUE
2021-11-20 6:17,this shi go crazy on sandstorm,TRUE
2021-11-12 22:28,Love this game. So much fun and perfect to play with friends and strangers alike.,TRUE
2021-11-10 19:40,lag not bad anymore,TRUE
2021-11-06 14:57,Very Toxic. fun to play regardless,TRUE
2021-11-04 23:04,noob,FALSE
2021-11-03 16:36,If you wanna put your computer into a choke hold or break every bone in your hand by all means play this game,FALSE
2021-11-03 10:23,fuck tthis game dont play it i hope the person that created gauntlets dies fr,FALSE
2021-11-02 17:09,Litteral Garbage,FALSE
2021-11-02 3:49,"Yes, but many players are spammers",TRUE
2021-10-30 19:15,"""abandon all hope ye who enters here""

-the inscription over the gates of hell",TRUE
